Feature,Importance
zipcode,0.38023149490844155
lat,0.32188935640244587
sqft_living,0.26829914028976454
grade,0.26410946796432766
sqft_living15,0.21425709456254172
sqft_above,0.20280822324349135
bathrooms,0.14772249878418275
total_rooms,0.14169390166656148
living_ratio,0.09980447402670656
long,0.09449312690266698
yr_built,0.07335072646779661
house_age,0.07183141519049396
floors,0.06784606705424645
sqft_lot15,0.06541641060282988
bedrooms,0.06538371866782766
sqft_basement,0.04811225753028081
sqft_lot,0.04572075284346955
basement_ratio,0.027737747197225104
view,0.019557105654911533
condition,0.013264383413566172
yr_renovated,0.008983866369183913
is_renovated,0.0033252563572019334
renovation_age,0.0
waterfront,0.0
